media,pdf,mp3
Chapter 11 - Not another of these rooms!,http://www.dw.de/popups/pdf/231561/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion11-podcast-2257-218142.mp3
Chapter 12 - A student or a porter?,http://www.dw.de/popups/pdf/231562/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion12-podcast-2257-218144.mp3
Chapter 13 - Here’s my key!,http://www.dw.de/popups/pdf/231568/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion13-podcast-2257-218155.mp3
"Chapter 14 - You will come to Aachen, won't you?",http://www.dw.de/popups/pdf/7024037/dwnen1lektion14pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion14-podcast-2257-218156.mp3
"Chapter 15 - Are you selling the cassettes, too?",http://www.dw.de/popups/pdf/4032010/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion15-podcast-2257-218170.mp3
Chapter 16 - Try it on!,http://www.dw.de/popups/pdf/232594/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion16-podcast-2257-218171.mp3
Chapter 17 - Four cups - that’s four marks altogether,http://www.dw.de/popups/pdf/232764/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion17-podcast-2257-218547.mp3
"Chapter 18 - No belongings, no luggage",http://www.dw.de/popups/pdf/232794/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion18-podcast-2257-218783.mp3
Chapter 19 - I’d like to go to sleep,http://www.dw.de/popups/pdf/232797/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion19-podcast-2257-219168.mp3
Chapter 20 - Are you ill?,http://www.dw.de/popups/pdf/232907/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion20-podcast-2257-219317.mp3
Chapter 21 - I was in Essen,http://www.dw.de/popups/pdf/233559/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion21-podcast-2257-219499.mp3
Chapter 22 - And what about his wife?,http://www.dw.de/popups/pdf/233823/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion22-podcast-2257-219650.mp3
Chapter 23 - Who’s that speaking?,http://www.dw.de/popups/pdf/233967/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion23-podcast-2257-219694.mp3
Chapter 24 - Would you like another coffee?,http://www.dw.de/popups/pdf/233968/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion24-podcast-2257-219696.mp3
Chapter 25 - I’ll pay the rest,http://www.dw.de/popups/pdf/234022/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion25-podcast-2257-219697.mp3
Chapter 26 - It’s on me,http://www.dw.de/popups/pdf/230532/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion26-podcast-2257-219699.mp3
Appendix 01 - Introduction: How to Use this Handbook,http://www.dw.de/popups/pdf/279609/introduction-pdf.pdf,
Appendix 02 - Contents,http://www.dw.de/popups/pdf/279619/contents-pdf.pdf,
Appendix 03 - Summary of grammar,http://www.dw.de/popups/pdf/279625/summary-of-grammar-pdf.pdf,
Appendix 04 - Key to the exercises,http://www.dw.de/popups/pdf/280146/key-to-the-exercises-pdf.pdf,
Appendix 05 - Alphabetical list of vocabulary,http://www.dw.de/popups/pdf/21753362/vocabulary-pdf.pdf,
Appendix 06 - Translations of the dialogues,http://www.dw.de/popups/pdf/280194/translations-of-the-dialogues-pdf.pdf,
