media,pdf,mp3
Chapter 01 - This is a song,http://www.dw.de/popups/pdf/228009/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion01-podcast-2257-215437.mp3
"Chapter 02 - Hey, taxi!",http://www.dw.de/popups/pdf/230570/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion02-podcast-2257-216039.mp3
Chapter 03 - Hotel Europa,http://www.dw.de/popups/pdf/230794/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion03-podcast-2257-216076.mp3
"Chapter 04 - Who’s speaking, please?",http://www.dw.de/popups/pdf/231169/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion04-podcast-2257-217987.mp3
Chapter 05 - That is impolite!,http://www.dw.de/popups/pdf/231477/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion05-podcast-2257-218050.mp3
Chapter 06 - What do you do for a living?,http://www.dw.de/popups/pdf/231512/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion06-podcast-2257-218076.mp3
Chapter 07 - You are strange!,http://www.dw.de/popups/pdf/231513/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion07-podcast-2257-218083.mp3
Chapter 08 - Where do you come from?,http://www.dw.de/popups/pdf/231516/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion08-podcast-2257-218110.mp3
Chapter 09 - You already know that!,http://www.dw.de/popups/pdf/231556/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion09-podcast-2257-218114.mp3
Chapter 10 - Have you got a free room?,http://www.dw.de/popups/pdf/231559/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/podcasts/en/2257_DKpodcast_dwn1_en/DWN_Englisch_Serie1_Lektion10-podcast-2257-218140.mp3
