media,pdf,mp3
Chapter 11 - She scattered peas,http://www.dw.de/popups/pdf/245569/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion11_dwdownload.mp3
Chapter 12 - Someone was supposed to say the magic word,http://www.dw.de/popups/pdf/245571/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion12_dwdownload.mp3
Chapter 13 - Where did you park your car?,http://www.dw.de/popups/pdf/245572/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion13_dwdownload.mp3
Chapter 14 - Then they thought of Frederick,http://www.dw.de/popups/pdf/245575/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion14_dwdownload.mp3
Chapter 15 - Invisible and cheeky,http://www.dw.de/popups/pdf/245579/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion15_dwdownload.mp3
Chapter 16 - But today its different,http://www.dw.de/popups/pdf/245592/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion16_dwdownload.mp3
Chapter 17 - I still have a suitcase in Berlin,http://www.dw.de/popups/pdf/245593/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion17_dwdownload.mp3
Chapter 18 - Bahnhof Zoo,http://www.dw.de/popups/pdf/7024049/dwnen2lektion18pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion18_dwdownload.mp3
Chapter 19 - Im glad you re in Berlin,http://www.dw.de/popups/pdf/245602/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion19_dwdownload.mp3
Chapter 20 - Before the Wall went up,http://www.dw.de/popups/pdf/245603/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion20_dwdownload.mp3
Chapter 21 - Everything is getting very expensive,http://www.dw.de/popups/pdf/245604/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion21_dwdownload.mp3
Chapter 22 - Berlin Alexanderplatz,http://www.dw.de/popups/pdf/245605/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion22_dwdownload.mp3
Chapter 23 - The famous Charite hospital,http://www.dw.de/popups/pdf/245606/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion23_dwdownload.mp3
Chapter 24 - The dead are not always dead,http://www.dw.de/popups/pdf/245607/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion24_dwdownload.mp3
Chapter 25 - Id like small assignments to begin with,http://www.dw.de/popups/pdf/245608/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion25_dwdownload.mp3
Chapter 26 - We just want to be together,http://www.dw.de/popups/pdf/245612/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion26_dwdownload.mp3
