media,pdf,mp3
Appendix 01 - Introduction: How to Use this Handbook ,http://www.dw.de/popups/pdf/280267/introduction-pdf.pdf,
Appendix 02 - Contents,http://www.dw.de/popups/pdf/21753275/contents-pdf.pdf,
Appendix 03 - Summary of grammar,http://www.dw.de/popups/pdf/21753294/summary-of-grammar-pdf.pdf,
Appendix 04 - Key to the exercises ,http://www.dw.de/popups/pdf/21753323/key-to-the-exercises-pdf.pdf,
Appendix 05 - Alphabetical list of vocabulary,http://www.dw.de/popups/pdf/21753350/alphabetical-list-of-vocabulary-pdf.pdf,
Appendix 06 - Translations of the dialogues,http://www.dw.de/popups/pdf/280290/translations-of-the-dialogues-pdf.pdf,
Chapter 01 - The music is super,http://www.dw.de/popups/pdf/245546/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion01_dwdownload.mp3
Chapter 02 - My name is Ex,http://www.dw.de/popups/pdf/369745/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion02_dwdownload.mp3
Chapter 03 - Will you take me with you,http://www.dw.de/popups/pdf/245560/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion03_dwdownload.mp3
Chapter 04 - Have you got a city map,http://www.dw.de/popups/pdf/245562/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion04_dwdownload.mp3
Chapter 05 - I ll serve the drinks,http://www.dw.de/popups/pdf/245563/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion05_dwdownload.mp3
Chapter 06 - He doesn’t know his date of birth?,http://www.dw.de/popups/pdf/245564/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion06_dwdownload.mp3
Chapter 07 - Can you give me the brochures?,http://www.dw.de/popups/pdf/245565/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion07_dwdownload.mp3
Chapter 08 - I havent heard any more from her,http://www.dw.de/popups/pdf/245566/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion08_dwdownload.mp3
Chapter 09 - I sang her a song,http://www.dw.de/popups/pdf/245567/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion09_dwdownload.mp3
Chapter 10 - Id like to reserve a room,http://www.dw.de/popups/pdf/245568/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie3/eng/DWN_Englisch_Serie3_Lektion10_dwdownload.mp3
